"outer_iter","sub_attempt","admm_tol","line_search_halvings","line_search_success","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
1,1,1e-08,0,TRUE,1000,FALSE,35,0.021230938937691,0.0438903511041895,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,260,TRUE,35,0.021230938937691,0.0438903511041895,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,455,TRUE,35,0.021230938937691,0.0438903511041895,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,100,TRUE,35,0.021230938937691,0.0438903511041895,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,253,TRUE,36,0.0181623730234537,0.0375467581167345,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,236,TRUE,36,0.0181623730234537,0.0375467581167345,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,155,TRUE,36,0.0181623730234537,0.0375467581167345,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,79,TRUE,36,0.0181623730234537,0.0375467581167345,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,289,TRUE,37,0.0155373153684439,0.0321200220460756,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,275,TRUE,37,0.0155373153684439,0.0321200220460756,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,138,TRUE,37,0.0155373153684439,0.0321200220460756,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,69,TRUE,37,0.0155373153684439,0.0321200220460756,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,312,TRUE,38,0.0132916645058849,0.0274776270439327,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,288,TRUE,38,0.0132916645058849,0.0274776270439327,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,134,TRUE,38,0.0132916645058849,0.0274776270439327,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,62,TRUE,38,0.0132916645058849,0.0274776270439327,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,354,TRUE,39,0.0113705837300447,0.0235062101415248,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,571,TRUE,39,0.0113705837300447,0.0235062101415248,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,174,TRUE,39,0.0113705837300447,0.0235062101415248,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,350,TRUE,40,0.00972716203487634,0.0201087930312938,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,242,TRUE,40,0.00972716203487634,0.0201087930312938,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,132,TRUE,40,0.00972716203487634,0.0201087930312938,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,414,TRUE,41,0.00832126859087539,0.0172024139468184,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,255,TRUE,41,0.00832126859087539,0.0172024139468184,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,141,TRUE,41,0.00832126859087539,0.0172024139468184,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,422,TRUE,42,0.0071185727875427,0.0147161018136279,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,262,TRUE,42,0.0071185727875427,0.0147161018136279,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,125,TRUE,42,0.0071185727875427,0.0147161018136279,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,426,TRUE,43,0.00608970591180167,0.0125891432015631,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,265,TRUE,43,0.00608970591180167,0.0125891432015631,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,122,TRUE,43,0.00608970591180167,0.0125891432015631,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,451,TRUE,44,0.00520954399133618,0.0107695997592715,1e-07,"case_relative_change"
