"outer_iter","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
2,44,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
3,28,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
4,15,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
5,3,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
6,4,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
7,4,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
8,2,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
9,16,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
10,15,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
11,1,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
12,2,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
13,1,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
14,1,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
15,1,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
16,1,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
17,1,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_norm_mode"
1,123,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
2,48,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
3,28,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
4,15,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
5,3,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
6,3,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
7,2,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
8,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
9,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
10,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
11,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
12,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
13,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
14,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
15,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
16,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
17,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
18,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
19,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
20,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
21,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
22,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
23,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
24,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
25,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
26,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
27,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
28,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
29,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
30,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
31,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
32,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
33,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
34,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
35,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
36,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
37,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
38,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
39,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
40,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
41,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
42,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
43,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
44,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
45,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
46,1,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_norm_mode"
1,108,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
