"path_index","lambda_gamma","lambda_Omega","pn_final_loss","pn_converged","pg_final_loss","pg_converged","diff_pg_minus_pn","abs_diff","case","tol_outer","tol_inner_base","tol_inner_floor","max_iter_outer"
12,0.769646387302891,1.5910766011778,106.034855441299,TRUE,106.048672476127,FALSE,0.01381703482744,0.01381703482744,"case_norm_mode",1e-04,1e-05,1e-08,10000
13,0.658407281155739,1.3611139302077,101.46841088142,TRUE,101.474856668141,FALSE,0.00644578672154239,0.00644578672154239,"case_norm_mode",1e-04,1e-05,1e-08,10000
14,0.563245868531947,1.16438839565236,96.9715585975131,TRUE,96.9822608479857,FALSE,0.0107022504726473,0.0107022504726473,"case_norm_mode",1e-04,1e-05,1e-08,10000
15,0.481838396230109,0.996096142901866,92.578664048768,TRUE,92.5869844913112,FALSE,0.00832044254323705,0.00832044254323705,"case_norm_mode",1e-04,1e-05,1e-08,10000
16,0.412196969481073,0.85212763164655,88.3200035455431,TRUE,88.3234160706857,FALSE,0.00341252514250812,0.00341252514250812,"case_norm_mode",1e-04,1e-05,1e-08,10000
17,0.352621009406314,0.728967284724337,84.211461383055,TRUE,84.2250162218947,FALSE,0.0135548388396813,0.0135548388396813,"case_norm_mode",1e-04,1e-05,1e-08,10000
18,0.301655726463164,0.623607640995718,80.2622253906302,TRUE,80.2680226594712,FALSE,0.0057972688409933,0.0057972688409933,"case_norm_mode",1e-04,1e-05,1e-08,10000
19,0.258056595837054,0.533475915939497,76.4798090041904,TRUE,76.4842703311038,FALSE,0.00446132691344303,0.00446132691344303,"case_norm_mode",1e-04,1e-05,1e-08,10000
20,0.220758967302882,0.456371176647336,72.8693831676861,TRUE,72.8714710068875,FALSE,0.00208783920143674,0.00208783920143674,"case_norm_mode",1e-04,1e-05,1e-08,10000
21,0.188852067456581,0.390410597088876,69.4336826078599,TRUE,69.4351657879212,FALSE,0.00148318006138481,0.00148318006138481,"case_norm_mode",1e-04,1e-05,1e-08,10000
22,0.161556759475561,0.333983481251,66.1772508819439,TRUE,66.1801670739096,FALSE,0.00291619196572412,0.00291619196572412,"case_norm_mode",1e-04,1e-05,1e-08,10000
23,0.138206517322057,0.285711931439055,63.0970389044278,TRUE,63.1093630561887,FALSE,0.0123241517609074,0.0123241517609074,"case_norm_mode",1e-04,1e-05,1e-08,10000
24,0.118231149797118,0.244417201296511,60.1890305046189,TRUE,60.1956942434347,FALSE,0.00666373881584548,0.00666373881584548,"case_norm_mode",1e-04,1e-05,1e-08,10000
25,0.101142877001776,0.209090911915109,57.4365048122976,TRUE,57.4414092884716,FALSE,0.00490447617403333,0.00490447617403333,"case_norm_mode",1e-04,1e-05,1e-08,10000
