"outer_iter","training_loss","delta_loss","relative_obj_change","oracle_gap_abs","oracle_gap_rel","local_norm","step_size","line_search_halvings","line_search_success","line_search_forced","armijo_lhs","armijo_rhs","inner_iters","inner_converged","admm_tol_used","direction_norm_fro","refinement_triggered","refinement_rounds","subproblem_attempts","stop_mode_hit","min_eig","max_eig","kappa","nnz_gamma_total","nnz_gamma_pen","gamma_pen_sparsity","nnz_omega_offdiag_upper","omega_offdiag_sparsity","elapsed_sec","path_index","lambda_gamma","lambda_Omega","solver_tol"
2,92.5833527192468,-0.0538378219494007,0.000574961953025646,NA,NA,0.33686207239169,0.748020323600749,0,TRUE,FALSE,NA,NA,182,TRUE,1e-07,0.332002139241686,FALSE,0,1,NA,0.142421236228665,0.618642032315433,4.34374850757627,154,104,0.0416,32,0.0261224489795918,3.87137603759766,15,0.481838396230109,0.996096142901866,1e-05
3,92.5787106549616,-0.00464206428526381,4.9603526165494e-05,NA,NA,0.0964055868667135,0.912071237121092,0,TRUE,FALSE,NA,NA,192,TRUE,1e-07,0.0992003357687379,FALSE,0,1,NA,0.142831929486567,0.625337827212431,4.37813750371021,154,104,0.0416,32,0.0261224489795918,5.85248899459839,15,0.481838396230109,0.996096142901866,1e-05
4,92.5786640552007,-4.65997608358748e-05,4.979739570007e-07,NA,NA,0.00964332263399062,0.990448782834682,0,TRUE,FALSE,NA,NA,55,TRUE,1e-07,0.0101155138725105,FALSE,0,1,"relative_change",0.142885598065631,0.626081382966296,4.38169690607112,154,104,0.0416,32,0.0261224489795918,5.89287304878235,15,0.481838396230109,0.996096142901866,1e-05
0,88.5702563072179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.142885598065631,0.626081382966296,4.38169690607112,154,104,0.0416,32,0.0261224489795918,0,16,0.412196969481073,0.85212763164655,1e-05
1,88.3713513634937,-0.198904943724131,0.00222065841859271,NA,NA,0.685457795681232,0.593310614221472,0,TRUE,FALSE,NA,NA,187,TRUE,1e-07,0.699981121412672,FALSE,0,1,NA,0.141809204463564,0.656584344111909,4.63005449184796,159,109,0.0436,43,0.0351020408163265,1.87444186210632,16,0.412196969481073,0.85212763164655,1e-05
2,88.3237461941935,-0.0476051693002262,0.000532666996458463,NA,NA,0.315800984074966,0.759993351656459,0,TRUE,FALSE,NA,NA,194,TRUE,1e-07,0.344324038636684,FALSE,0,1,NA,0.141746628917644,0.675888601011079,4.76828695096357,159,109,0.0436,43,0.0351020408163265,3.75721907615662,16,0.412196969481073,0.85212763164655,1e-05
3,88.3200338973374,-0.00371229685612207,4.15600219906964e-05,NA,NA,0.0861730689425866,0.920663592749102,0,TRUE,FALSE,NA,NA,208,TRUE,1e-07,0.0978968406878021,FALSE,0,1,NA,0.141870641751409,0.682552994086356,4.81109400549797,159,109,0.0436,43,0.0351020408163265,5.66299891471863,16,0.412196969481073,0.85212763164655,1e-05
4,88.3200035486074,-3.03487300072902e-05,3.39775173419352e-07,NA,NA,0.00778031426554529,0.992279751692495,0,TRUE,FALSE,NA,NA,64,TRUE,1e-07,0.00899174463676628,FALSE,0,1,"relative_change",0.141893393932725,0.683212787879308,4.8149724870436,159,109,0.0436,43,0.0351020408163265,5.70759797096252,16,0.412196969481073,0.85212763164655,1e-05
0,84.4448110920917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.141893393932725,0.683212787879308,4.8149724870436,159,109,0.0436,43,0.0351020408163265,0,17,0.352621009406314,0.728967284724337,1e-05
1,84.2575518443261,-0.187259247765638,0.00219158127184355,NA,NA,0.66243297624729,0.601528010023815,0,TRUE,FALSE,NA,NA,194,TRUE,1e-07,0.736952332464466,FALSE,0,1,NA,0.138548908806858,0.715877998995916,5.16696959334319,170,120,0.048,51,0.0416326530612245,1.87507796287537,17,0.352621009406314,0.728967284724337,1e-05
